burst,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,na,nb,b1,b2,b0
bn170112970,2125.0,2526.0,2606.0,1967.0,,2364.0,,,,,,,,,
bn170112970,2082.0,2480.0,2583.0,1956.0,,2343.0,,,,,,,,,
bn170112970,2061.0,2523.0,2499.0,1892.0,,2431.0,,,,,,,,,
bn170112970,2118.0,2435.0,2621.0,1968.0,,2371.0,,,,,,,,,
bn170112970,2123.0,2481.0,2523.0,1955.0,,2417.0,,,,,,,,,
bn170112970,2139.0,2478.0,2578.0,1965.0,,2394.0,,,,,,,,,
bn170112970,2059.0,2495.0,2612.0,1918.0,,2350.0,,,,,,,,,
bn170112970,2134.0,2491.0,2481.0,1916.0,,2426.0,,,,,,,,,
bn170112970,2136.0,2601.0,2611.0,1907.0,,2374.0,,,,,,,,,
bn170112970,2041.0,2542.0,2572.0,1894.0,,2313.0,,,,,,,,,
bn170112970,2127.0,2550.0,2574.0,1919.0,,2346.0,,,,,,,,,
bn170112970,2020.0,2540.0,2569.0,1895.0,,2422.0,,,,,,,,,
bn170112970,2084.0,2423.0,2565.0,1886.0,,2291.0,,,,,,,,,
bn170112970,2127.0,2491.0,2611.0,1926.0,,2398.0,,,,,,,,,
bn170112970,2072.0,2469.0,2580.0,1946.0,,2388.0,,,,,,,,,
bn170112970,2135.0,2460.0,2564.0,1902.0,,2482.0,,,,,,,,,
bn170112970,2195.0,2439.0,2503.0,1988.0,,2354.0,,,,,,,,,
bn170112970,2137.0,2670.0,2615.0,1986.0,,2580.0,,,,,,,,,
bn170112970,2088.0,2513.0,2622.0,2038.0,,2501.0,,,,,,,,,
bn170112970,2206.0,2688.0,2649.0,2033.0,,2567.0,,,,,,,,,
bn170112970,2218.0,2566.0,2634.0,1947.0,,2605.0,,,,,,,,,
bn170112970,2155.0,2574.0,2550.0,1889.0,,2440.0,,,,,,,,,
bn170112970,2154.0,2545.0,2659.0,1935.0,,2470.0,,,,,,,,,
bn170112970,2101.0,2468.0,2589.0,1929.0,,2352.0,,,,,,,,,
bn170112970,2155.0,2558.0,2633.0,1928.0,,2386.0,,,,,,,,,
bn170112970,2095.0,2455.0,2480.0,1970.0,,2429.0,,,,,,,,,
bn170112970,2065.0,2453.0,2545.0,1950.0,,2438.0,,,,,,,,,
bn170112970,2026.0,2502.0,2561.0,1886.0,,2462.0,,,,,,,,,
bn170112970,2071.0,2553.0,2646.0,1962.0,,2478.0,,,,,,,,,
bn170112970,2164.0,2458.0,2622.0,1966.0,,2483.0,,,,,,,,,
bn170112970,2113.0,2515.0,2606.0,1965.0,,2400.0,,,,,,,,,
bn170112970,2067.0,2525.0,2577.0,2052.0,,2394.0,,,,,,,,,
bn170112970,2092.0,2613.0,2616.0,1946.0,,2370.0,,,,,,,,,
bn170112970,2053.0,2485.0,2517.0,1928.0,,2473.0,,,,,,,,,
bn170112970,2128.0,2473.0,2545.0,1920.0,,2415.0,,,,,,,,,
bn170112970,2112.0,2517.0,2648.0,1900.0,,2435.0,,,,,,,,,
bn170112970,2177.0,2556.0,2521.0,1986.0,,2391.0,,,,,,,,,
bn170112970,2169.0,2546.0,2628.0,1928.0,,2400.0,,,,,,,,,
bn170112970,2022.0,2457.0,2560.0,1958.0,,2451.0,,,,,,,,,
bn170112970,2074.0,2423.0,2606.0,1938.0,,2542.0,,,,,,,,,
bn170112970,2186.0,2511.0,2603.0,1964.0,,2460.0,,,,,,,,,
bn170112970,2123.0,2451.0,2611.0,1923.0,,2415.0,,,,,,,,,
bn170112970,2087.0,2486.0,2630.0,1896.0,,2293.0,,,,,,,,,
bn170112970,2167.0,2634.0,2619.0,2009.0,,2412.0,,,,,,,,,
bn170112970,2113.0,2639.0,2526.0,2020.0,,2524.0,,,,,,,,,
bn170112970,2203.0,2557.0,2587.0,2046.0,,2437.0,,,,,,,,,
bn170112970,2214.0,2614.0,2633.0,1939.0,,2424.0,,,,,,,,,
bn170112970,2134.0,2536.0,2574.0,2010.0,,2448.0,,,,,,,,,
bn170112970,2086.0,2641.0,2643.0,1956.0,,2424.0,,,,,,,,,
bn170112970,2166.0,2572.0,2619.0,2011.0,,2376.0,,,,,,,,,
bn170112970,2155.0,2500.0,2555.0,1979.0,,2500.0,,,,,,,,,
bn170112970,2140.0,2492.0,2556.0,2029.0,,2451.0,,,,,,,,,
bn170112970,2210.0,2575.0,2602.0,1938.0,,2416.0,,,,,,,,,
bn170112970,2183.0,2553.0,2642.0,1992.0,,2387.0,,,,,,,,,
bn170112970,2194.0,2568.0,2568.0,2003.0,,2451.0,,,,,,,,,
bn170112970,2203.0,2525.0,2644.0,1978.0,,2454.0,,,,,,,,,
bn170112970,2236.0,2406.0,2521.0,1947.0,,2501.0,,,,,,,,,
bn170112970,2124.0,2650.0,2569.0,1991.0,,2457.0,,,,,,,,,
bn170112970,2167.0,2450.0,2638.0,2017.0,,2341.0,,,,,,,,,
bn170112970,2145.0,2526.0,2570.0,1887.0,,2475.0,,,,,,,,,
bn170112970,2174.0,2603.0,2581.0,1940.0,,2465.0,,,,,,,,,
bn170112970,2131.0,2557.0,2573.0,1987.0,,2345.0,,,,,,,,,
bn170112970,2193.0,2575.0,2603.0,2005.0,,2430.0,,,,,,,,,
bn170112970,2060.0,2539.0,2583.0,2035.0,,2430.0,,,,,,,,,
bn170112970,2381.0,2683.0,2676.0,2130.0,,2520.0,,,,,,,,,
bn170112970,2520.0,2938.0,2859.0,2233.0,,2692.0,,,,,,,,,
bn170112970,2247.0,2618.0,2630.0,2058.0,,2579.0,,,,,,,,,
bn170112970,2228.0,2605.0,2640.0,2072.0,,2499.0,,,,,,,,,
bn170112970,2219.0,2628.0,2606.0,2041.0,,2403.0,,,,,,,,,
bn170112970,2158.0,2563.0,2543.0,2003.0,,2472.0,,,,,,,,,
bn170112970,2238.0,2560.0,2576.0,1979.0,,2470.0,,,,,,,,,
bn170112970,2155.0,2625.0,2646.0,2121.0,,2441.0,,,,,,,,,
bn170112970,2170.0,2594.0,2499.0,1943.0,,2448.0,,,,,,,,,
bn170112970,2231.0,2582.0,2548.0,2048.0,,2349.0,,,,,,,,,
bn170112970,2213.0,2533.0,2483.0,1964.0,,2432.0,,,,,,,,,
bn170112970,2178.0,2535.0,2587.0,1990.0,,2499.0,,,,,,,,,
bn170112970,2172.0,2571.0,2538.0,1993.0,,2482.0,,,,,,,,,
bn170112970,2240.0,2574.0,2573.0,1977.0,,2437.0,,,,,,,,,
bn170112970,2259.0,2635.0,2539.0,2011.0,,2397.0,,,,,,,,,
bn170112970,2190.0,2484.0,2529.0,1970.0,,2374.0,,,,,,,,,
bn170112970,2196.0,2577.0,2508.0,1986.0,,2411.0,,,,,,,,,
bn170112970,2189.0,2554.0,2544.0,1980.0,,2436.0,,,,,,,,,
bn170112970,2239.0,2653.0,2489.0,1969.0,,2492.0,,,,,,,,,
bn170112970,2140.0,2515.0,2607.0,1963.0,,2491.0,,,,,,,,,
bn170112970,2251.0,2615.0,2677.0,2062.0,,2466.0,,,,,,,,,
bn170112970,2177.0,2479.0,2604.0,1967.0,,2387.0,,,,,,,,,
bn170112970,2216.0,2577.0,2675.0,2023.0,,2365.0,,,,,,,,,
bn170112970,2115.0,2580.0,2584.0,2027.0,,2373.0,,,,,,,,,
bn170112970,2173.0,2508.0,2609.0,2138.0,,2409.0,,,,,,,,,
bn170112970,2196.0,2564.0,2592.0,2003.0,,2560.0,,,,,,,,,
bn170112970,2153.0,2607.0,2683.0,1993.0,,2399.0,,,,,,,,,
bn170112970,2239.0,2625.0,2645.0,2070.0,,2548.0,,,,,,,,,
bn170112970,2159.0,2569.0,2493.0,1985.0,,2427.0,,,,,,,,,
bn170112970,2209.0,2553.0,2661.0,2018.0,,2473.0,,,,,,,,,
bn170112970,2178.0,2627.0,2574.0,2091.0,,2475.0,,,,,,,,,
bn170112970,2205.0,2533.0,2528.0,2053.0,,2505.0,,,,,,,,,
bn170112970,2168.0,2531.0,2681.0,1970.0,,2525.0,,,,,,,,,
bn170112970,2241.0,2563.0,2636.0,2003.0,,2410.0,,,,,,,,,
bn170112970,2212.0,2587.0,2517.0,1985.0,,2406.0,,,,,,,,,
bn170112970,2158.0,2554.0,2610.0,2038.0,,2388.0,,,,,,,,,
bn170112970,2194.0,2585.0,2618.0,2108.0,,2425.0,,,,,,,,,
bn170112970,2222.0,2542.0,2715.0,2057.0,,2451.0,,,,,,,,,
bn170112970,2280.0,2515.0,2601.0,2112.0,,2509.0,,,,,,,,,
bn170112970,2176.0,2634.0,2601.0,2080.0,,2532.0,,,,,,,,,
bn170112970,2200.0,2624.0,2572.0,1990.0,,2496.0,,,,,,,,,
bn170112970,2225.0,2506.0,2649.0,2009.0,,2465.0,,,,,,,,,
bn170112970,2183.0,2541.0,2695.0,2123.0,,2659.0,,,,,,,,,
bn170112970,2220.0,2590.0,2660.0,2092.0,,2528.0,,,,,,,,,
bn170112970,2290.0,2587.0,2667.0,2018.0,,2569.0,,,,,,,,,
bn170112970,2180.0,2613.0,2686.0,2077.0,,2546.0,,,,,,,,,
bn170112970,2335.0,2657.0,2604.0,2104.0,,2575.0,,,,,,,,,
bn170112970,2206.0,2638.0,2719.0,2047.0,,2535.0,,,,,,,,,
bn170112970,2201.0,2620.0,2603.0,2113.0,,2465.0,,,,,,,,,
bn170112970,2244.0,2604.0,2651.0,2021.0,,2613.0,,,,,,,,,
bn170112970,2273.0,2693.0,2581.0,2002.0,,2532.0,,,,,,,,,
bn170112970,2218.0,2644.0,2616.0,1982.0,,2508.0,,,,,,,,,
bn170112970,2220.0,2644.0,2636.0,1966.0,,2536.0,,,,,,,,,
bn170112970,2285.0,2696.0,2714.0,2038.0,,2605.0,,,,,,,,,
bn170112970,2221.0,2682.0,2671.0,1969.0,,2554.0,,,,,,,,,
