Epoch 1, Final batch loss: 0.2940
Epoch 2, Final batch loss: 0.3650
Epoch 3, Final batch loss: 0.2732
Epoch 4, Final batch loss: 0.2871
Epoch 5, Final batch loss: 0.2642
Epoch 6, Final batch loss: 0.2685
Epoch 7, Final batch loss: 0.2635
Epoch 8, Final batch loss: 0.2200
Epoch 9, Final batch loss: 0.5729
Epoch 10, Final batch loss: 0.3584
Epoch 11, Final batch loss: 0.2287
Epoch 12, Final batch loss: 0.2556
Epoch 13, Final batch loss: 0.2014
Epoch 14, Final batch loss: 0.2656
Epoch 15, Final batch loss: 0.1989
