Epoch 1, Final batch loss: 0.3158
Epoch 2, Final batch loss: 0.3612
Epoch 3, Final batch loss: 0.3119
Epoch 4, Final batch loss: 0.2758
Epoch 5, Final batch loss: 0.2394
Epoch 6, Final batch loss: 0.2570
Epoch 7, Final batch loss: 0.2902
Epoch 8, Final batch loss: 0.2861
Epoch 9, Final batch loss: 0.2277
Epoch 10, Final batch loss: 0.2349
Epoch 11, Final batch loss: 0.2308
Epoch 12, Final batch loss: 0.3277
Epoch 13, Final batch loss: 0.1408
Epoch 14, Final batch loss: 0.1794
Epoch 15, Final batch loss: 0.3341
