Epoch 1, Final batch loss: 0.3101
Epoch 2, Final batch loss: 0.2751
Epoch 3, Final batch loss: 0.1169
Epoch 4, Final batch loss: 0.2821
Epoch 5, Final batch loss: 0.2288
Epoch 6, Final batch loss: 0.3219
Epoch 7, Final batch loss: 0.2852
Epoch 8, Final batch loss: 0.2158
Epoch 9, Final batch loss: 0.2813
Epoch 10, Final batch loss: 0.3067
Epoch 11, Final batch loss: 0.2439
Epoch 12, Final batch loss: 0.2122
Epoch 13, Final batch loss: 0.3387
Epoch 14, Final batch loss: 0.2606
Epoch 15, Final batch loss: 0.3296
