Epoch 1, Final batch loss: 0.2744
Epoch 2, Final batch loss: 0.3107
Epoch 3, Final batch loss: 0.3169
Epoch 4, Final batch loss: 0.2936
Epoch 5, Final batch loss: 0.1919
Epoch 6, Final batch loss: 0.2369
Epoch 7, Final batch loss: 0.2669
Epoch 8, Final batch loss: 0.1675
Epoch 9, Final batch loss: 0.1632
Epoch 10, Final batch loss: 0.1426
Epoch 11, Final batch loss: 0.2410
Epoch 12, Final batch loss: 0.2514
Epoch 13, Final batch loss: 0.2524
Epoch 14, Final batch loss: 0.2220
Epoch 15, Final batch loss: 0.2932
