Epoch 1, Final batch loss: 0.3815
Epoch 2, Final batch loss: 0.2047
Epoch 3, Final batch loss: 0.2929
Epoch 4, Final batch loss: 0.2289
Epoch 5, Final batch loss: 0.2877
Epoch 6, Final batch loss: 0.2965
Epoch 7, Final batch loss: 0.3013
Epoch 8, Final batch loss: 0.9056
Epoch 9, Final batch loss: 0.2054
Epoch 10, Final batch loss: 0.3174
Epoch 11, Final batch loss: 0.2673
Epoch 12, Final batch loss: 0.5696
Epoch 13, Final batch loss: 0.2788
Epoch 14, Final batch loss: 0.1778
Epoch 15, Final batch loss: 0.1656
