Epoch 1, Final batch loss: 33.3873
Epoch 2, Final batch loss: 0.3144
Epoch 3, Final batch loss: 0.3607
Epoch 4, Final batch loss: 0.2800
Epoch 5, Final batch loss: 0.1448
Epoch 6, Final batch loss: 0.3142
Epoch 7, Final batch loss: 0.1693
Epoch 8, Final batch loss: 0.2961
Epoch 9, Final batch loss: 0.2371
Epoch 10, Final batch loss: 0.2374
Epoch 11, Final batch loss: 0.1836
Epoch 12, Final batch loss: 0.3477
Epoch 13, Final batch loss: 0.4557
Epoch 14, Final batch loss: 0.3366
Epoch 15, Final batch loss: 0.2256
