Epoch 1, Final batch loss: 0.2372
Epoch 2, Final batch loss: 0.2051
Epoch 3, Final batch loss: 0.2398
Epoch 4, Final batch loss: 0.2967
Epoch 5, Final batch loss: 0.1643
Epoch 6, Final batch loss: 0.2590
Epoch 7, Final batch loss: 0.2402
Epoch 8, Final batch loss: 0.2753
Epoch 9, Final batch loss: 0.2159
Epoch 10, Final batch loss: 0.2340
Epoch 11, Final batch loss: 0.1867
Epoch 12, Final batch loss: 0.2087
Epoch 13, Final batch loss: 0.2397
Epoch 14, Final batch loss: 0.2534
Epoch 15, Final batch loss: 0.2936
