Epoch 1, Final batch loss: 0.3146
Epoch 2, Final batch loss: 0.2322
Epoch 3, Final batch loss: 0.3179
Epoch 4, Final batch loss: 0.2681
Epoch 5, Final batch loss: 0.2742
Epoch 6, Final batch loss: 0.2095
Epoch 7, Final batch loss: 0.2663
Epoch 8, Final batch loss: 1.6032
Epoch 9, Final batch loss: 0.2569
Epoch 10, Final batch loss: 0.2879
Epoch 11, Final batch loss: 0.2128
Epoch 12, Final batch loss: 0.2472
Epoch 13, Final batch loss: 0.3402
Epoch 14, Final batch loss: 0.3139
Epoch 15, Final batch loss: 0.3226
