Epoch 1, Final batch loss: 0.3061
Epoch 2, Final batch loss: 0.2399
Epoch 3, Final batch loss: 1.6295
Epoch 4, Final batch loss: 0.2452
Epoch 5, Final batch loss: 0.2947
Epoch 6, Final batch loss: 0.2255
Epoch 7, Final batch loss: 0.2803
Epoch 8, Final batch loss: 0.1786
Epoch 9, Final batch loss: 0.3473
Epoch 10, Final batch loss: 0.2813
Epoch 11, Final batch loss: 0.2344
Epoch 12, Final batch loss: 0.2734
Epoch 13, Final batch loss: 0.2039
Epoch 14, Final batch loss: 0.2000
Epoch 15, Final batch loss: 0.6244
