Epoch 1, Final batch loss: 0.2095
Epoch 2, Final batch loss: 0.1329
Epoch 3, Final batch loss: 0.2258
Epoch 4, Final batch loss: 0.2031
Epoch 5, Final batch loss: 0.3767
Epoch 6, Final batch loss: 0.1929
Epoch 7, Final batch loss: 0.2441
Epoch 8, Final batch loss: 33.4481
Epoch 9, Final batch loss: 0.2352
Epoch 10, Final batch loss: 0.2797
Epoch 11, Final batch loss: 0.1769
Epoch 12, Final batch loss: 0.2525
Epoch 13, Final batch loss: 0.2507
Epoch 14, Final batch loss: 0.3536
Epoch 15, Final batch loss: 0.2655
