Epoch 1, Final batch loss: 0.2685
Epoch 2, Final batch loss: 0.2464
Epoch 3, Final batch loss: 0.2080
Epoch 4, Final batch loss: 0.1987
Epoch 5, Final batch loss: 0.2921
Epoch 6, Final batch loss: 0.2307
Epoch 7, Final batch loss: 0.2854
Epoch 8, Final batch loss: 0.2269
Epoch 9, Final batch loss: 0.2408
Epoch 10, Final batch loss: 0.3068
Epoch 11, Final batch loss: 0.3118
Epoch 12, Final batch loss: 0.2760
Epoch 13, Final batch loss: 0.1255
Epoch 14, Final batch loss: 0.2520
Epoch 15, Final batch loss: 0.2150
