Epoch 1, Final batch loss: 0.2211
Epoch 2, Final batch loss: 0.3794
Epoch 3, Final batch loss: 0.2679
Epoch 4, Final batch loss: 0.2292
Epoch 5, Final batch loss: 0.3157
Epoch 6, Final batch loss: 0.3653
Epoch 7, Final batch loss: 0.5427
Epoch 8, Final batch loss: 0.3083
Epoch 9, Final batch loss: 1.3603
Epoch 10, Final batch loss: 0.3091
Epoch 11, Final batch loss: 0.2265
Epoch 12, Final batch loss: 0.2839
Epoch 13, Final batch loss: 0.2189
Epoch 14, Final batch loss: 0.2333
Epoch 15, Final batch loss: 0.2460
