Epoch 1, Final batch loss: 0.2740
Epoch 2, Final batch loss: 0.1598
Epoch 3, Final batch loss: 0.2187
Epoch 4, Final batch loss: 0.1951
Epoch 5, Final batch loss: 0.3215
Epoch 6, Final batch loss: 0.3098
Epoch 7, Final batch loss: 0.1619
Epoch 8, Final batch loss: 0.2895
Epoch 9, Final batch loss: 0.3044
Epoch 10, Final batch loss: 0.2742
Epoch 11, Final batch loss: 15.4698
Epoch 12, Final batch loss: 0.2874
Epoch 13, Final batch loss: 0.1866
Epoch 14, Final batch loss: 0.2377
Epoch 15, Final batch loss: 0.1904
