Epoch 1, Final batch loss: 0.2219
Epoch 2, Final batch loss: 0.2117
Epoch 3, Final batch loss: 0.3601
Epoch 4, Final batch loss: 0.2581
Epoch 5, Final batch loss: 0.1333
Epoch 6, Final batch loss: 0.2281
Epoch 7, Final batch loss: 0.2608
Epoch 8, Final batch loss: 0.2167
Epoch 9, Final batch loss: 0.2303
Epoch 10, Final batch loss: 0.2731
Epoch 11, Final batch loss: 0.5255
Epoch 12, Final batch loss: 0.1885
Epoch 13, Final batch loss: 0.2306
Epoch 14, Final batch loss: 0.1758
Epoch 15, Final batch loss: 0.3030
