Epoch 1, Final batch loss: 0.2066
Epoch 2, Final batch loss: 0.2782
Epoch 3, Final batch loss: 0.2119
Epoch 4, Final batch loss: 0.2619
Epoch 5, Final batch loss: 0.2212
Epoch 6, Final batch loss: 0.5489
Epoch 7, Final batch loss: 0.2527
Epoch 8, Final batch loss: 0.2052
Epoch 9, Final batch loss: 0.2160
Epoch 10, Final batch loss: 0.2926
Epoch 11, Final batch loss: 0.2630
Epoch 12, Final batch loss: 0.2963
Epoch 13, Final batch loss: 0.3316
Epoch 14, Final batch loss: 0.5989
Epoch 15, Final batch loss: 0.1990
