Epoch 1, Final batch loss: 0.2774
Epoch 2, Final batch loss: 0.2335
Epoch 3, Final batch loss: 0.1372
Epoch 4, Final batch loss: 0.1773
Epoch 5, Final batch loss: 0.2378
Epoch 6, Final batch loss: 0.2853
Epoch 7, Final batch loss: 0.1473
Epoch 8, Final batch loss: 0.2891
Epoch 9, Final batch loss: 0.2329
Epoch 10, Final batch loss: 0.3246
Epoch 11, Final batch loss: 0.2771
Epoch 12, Final batch loss: 0.2155
Epoch 13, Final batch loss: 0.3215
Epoch 14, Final batch loss: 0.3165
Epoch 15, Final batch loss: 15.3698
