Epoch 1, Final batch loss: 0.1800
Epoch 2, Final batch loss: 0.3011
Epoch 3, Final batch loss: 0.1793
Epoch 4, Final batch loss: 0.2509
Epoch 5, Final batch loss: 0.2657
Epoch 6, Final batch loss: 32.9078
Epoch 7, Final batch loss: 0.2420
Epoch 8, Final batch loss: 0.3300
Epoch 9, Final batch loss: 0.2513
Epoch 10, Final batch loss: 0.2503
Epoch 11, Final batch loss: 0.2006
Epoch 12, Final batch loss: 0.1142
Epoch 13, Final batch loss: 0.1874
Epoch 14, Final batch loss: 0.3089
Epoch 15, Final batch loss: 0.2138
