Epoch 1, Final batch loss: 0.3011
Epoch 2, Final batch loss: 0.1316
Epoch 3, Final batch loss: 0.2384
Epoch 4, Final batch loss: 0.2365
Epoch 5, Final batch loss: 0.2400
Epoch 6, Final batch loss: 0.3571
Epoch 7, Final batch loss: 0.2459
Epoch 8, Final batch loss: 0.2660
Epoch 9, Final batch loss: 0.2087
Epoch 10, Final batch loss: 0.3146
Epoch 11, Final batch loss: 0.3067
Epoch 12, Final batch loss: 0.3338
Epoch 13, Final batch loss: 0.4094
Epoch 14, Final batch loss: 0.3636
Epoch 15, Final batch loss: 0.3784
